ID,银行名称,名称缩写,银行代码,银行logo,联系电话,银行网站,英文简称
386,辽宁大石桥隆丰村镇银行,,15752281,386.png,,,
387,枞阳泰业村镇银行,,15773683,387.png,,,
388,通城惠民村镇银行,,15805364,388.png,0715-4338869,http://www.tchmbank.com,
389,武陟射阳村镇银行,,15845013,389.png,,,
390,山东临朐聚丰村镇银行,,15884583,390.png,,,
391,德庆华润村镇银行,,15915936,391.png,,,
392,西安高陵阳光村镇银行,,15947916,392.png,,,
393,江苏丹阳保得村镇银行,,16013144,393.png,85196036,http://www.baodebank.cn,
394,江苏溧水民丰村镇银行,,16023010,394.png,,,
395,花旗中国,,03190003,395.png,400-821-1880,https://www.citibank.com.cn,
396,法国兴业银行(中国),,03330001,396.png,400-8888-765,http://www.socgen.com.cn/cn/index.htm,
397,大华银行(中国),,03340000,397.png,,http://www.uobchina.com.cn,
398,大新银行(中国),,03350000,398.png,+852-28288000,http:/www.dahsing.com,
399,企业银行(中国),,03360000,399.png,,,
400,澳门商业银行,,26320446,400.png,,,
401,越南外贸股份商业银行,,,401.png,+43-8243524,http://www.vietcombank.com.vn,
402,菲律宾金融银行,,27240608,402.png,,https://www.bdo.com.ph/cn/home,
403,老挝外贸银行,,,403.png,+856-21213200,http://www.bcel.com.la,
404,澳门汇业银行,,,404.png,,,
405,韩国国民银行,,,405.png,,http://www.kbstarchina.com,
406,巴基斯坦哈比卜银行,,,406.png,,,
407,中银通支付,,48080001,407.png,400-620-8890,http://www.yintongcard.com/ytcard/zh_CN/index.html,
408,南昌大丰村镇银行,,15494210,408.png,,,
409,发现金融服务,,,409.png,1-800-347-2683,https://www.discover.com,
410,俄罗斯天然气工业银行,,,410.png,,http://www.gazprombank.ru,
411,韩国农协银行,,,411.png,+82-237041004,https://banking.nonghyup.com/nhbank.html,
412,中信嘉华银行,,25160344,412.png,021-61006108,http://www.cncbinternational.com,
413,杭州联合银行,,,413.png,96596,http://www.urcb.com,
414,渣打银行(中国),渣打银行中国,03220001,414.png,800-820-8088,http://www.standardchartered.com.cn,
415,俄罗斯联邦储蓄银行,,,415.png,+7-4955005550,http://www.sberbank.ru,
416,陕西省农村信用社,农村信用社,14427900,,,,
417,广东省农村信用社,广东农信社,14505800,,,,
